,Hotel Name,Hotel Price,Hotel Bedrooms,Hotel Summery,Hotel Update Date
0, Chez Goret Gites Gite Skippy Super Luxury Adult only Gite with hot tubPoitou-Charentes, From £900 /Week," Gite, Bedroom(s): 1, Sleeps: 2"," Gite Skippy is a one bed luxury gite which comes with use of a 10mx5m pool,it's own 2 person indoor private hot tub. Its rural quiet setting with panoramic views provides an oasis of calm.", ID#: 1332 |  Last update: 14-Jun-2022
1, L'AbriPoitou-Charentes, From £950 /Week," Villa, Bedroom(s): 3, Sleeps: 6", The villa has a 4-star rating with Gites de France. A characterful villa in an area that is great for family holidays., ID#: 1334 |  Last update: 22-Jun-2022
2, Quillan house with rooftop terraceLanguedoc-Roussillon, From £86 /Night," House, Bedroom(s): 3, Sleeps: 6", Set on a quiet street but in the centre of Quillan this lovely house has everything you need for a comfortable stay and the added bonus of amazing views from the rooftop terrace., ID#: 1323 |  Last update: 22-Apr-2022
3, Les Deux SabotsLower-Normandy, From £340 /Week," Cottage, Bedroom(s): 1, Sleeps: 2", A small three story cottage in the sleepy village of Bréel in the wonderful hills of Swiss Normandy.  Names after the clogs of workers., ID#: 1327 |  Last update: 07-Jun-2022
4, 4 star gite with private pool in the heart of the Dordogne areaAquitaine, From £875 /Week," Farmhouse, Bedroom(s): 2, Sleeps: 5"," 4 star gite with private pool, located in the village of Vaunac. This old farm has been carefully restored keeping its original character and can accommodate up to five people (in two bedrooms).", ID#: 1333 |  Last update: 07-Jun-2022
5, Luxury 2 bed cottage with JacuzziLanguedoc-Roussillon, From £100 /Night," Cottage, Bedroom(s): 2, Sleeps: 4", Relax and spoil yourselves in our gorgeous rural retreat., ID#: 1318 |  Last update: 05-Apr-2022
6, Spacious ground floor holiday home with gardenLanguedoc-Roussillon, From £250 /Week," Cottage, Bedroom(s): 1, Sleeps: 3"," A spacious ground floor holiday home with private garden and all modern facilities in Saint Chinian.  Covered patio, Mediterranean garden, BBQ, in walking distance to shops and restaurants.", ID#: 1324 |  Last update: 20-Apr-2022
7, Villa OceanPays de la Loire," From £1,595 /Week"," Villa, Bedroom(s): 3, Sleeps: 6", 4 bedroom villa with private heated swimming pool and large private garden, ID#: 1331 |  Last update: 09-May-2022
8, La Chasse, From £635 /Week," Gite, Bedroom(s): 3, Sleeps: 6", base to explore the many beautiful beaches and interesting places typical for this part of France., ID#: 1328 |  Last update: 22-Jun-2022
9, Two bed rural gite cosy and full of character with stunning viewsLower-Normandy, From £350 /Week," Gite, Bedroom(s): 2, Sleeps: 5"," La Petite Chouette is a two bedroomed, one bathroomed house perched on a hill with lovely views overlooking the Manche countryside and the town of Sourdeval, three kilometeres away.", ID#: 1314 |  Last update: 24-Jun-2022
